date,hospital,type,incidents,report,link
1/12/18,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145777-Fairfax-Everett-011218-Assault.html
1/24/18,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145776-Fairfax-Everett-012418-Assault.html
1/29/18,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145775-Fairfax-Everett-012918-Assault.html
9/12/18,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145769-Fairfax-Everett-091218-Assault.html
6/14/18,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145774-Fairfax-Everett-061418-Assault.html
7/17/18,Fairfax Everett,Assault ,1,Unreported,https://www.documentcloud.org/documents/6145773-Fairfax-Everett-071718-Assault.html
7/22/18,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145771-Fairfax-Everett-072218-Assault.html
8/27/18,Fairfax Everett,Fall,1,Unreported,https://www.documentcloud.org/documents/6145770-Fairfax-Everett-082718-Fall.html
10/22/18,Fairfax Everett,Assault,1,Unreported,https://www.documentcloud.org/documents/6145768-Fairfax-Monroe-060418-Assault.html
6/4/18,Fairfax Monroe,Assault,1,Unreported,https://www.documentcloud.org/documents/6145767-Fairfax-Monroe-060618-Assault.html
6/6/18,Fairfax Monroe,Assault,1,Unreported,https://www.documentcloud.org/documents/6145766-Fairfax-Monroe-062718-Fall.html
6/27/18,Fairfax Monroe,Fall,1,Unreported,https://www.documentcloud.org/documents/6145765-Fairfax-Everett-102218-Assault.html
2/2/16,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150299-Navos-020216-Assault.html
3/9/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150298-Navos-030916-Escape.html
3/18/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150297-Navos-031816-Escape.html
4/5/16,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150296-Navos-040516-Assault.html
5/15/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150295-Navos-051516-Escape.html
